,retweets,favorites,cleaned_tweets,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,min_sin,min_cos,time_to_open,time_after_close,potus_status,vader_negative,vader_neutral,vader_positive,vader_compound,negative_word,positive_word,uncertainty_word,litigious_word,constraining_word,interesting_word,modal_strong_word,modal_neutral_word,modal_weak_word,string_count,word_count,unique_words_count
10006,367,450,newnonny realdonaldtrump sroyboyk prove it and while you re at it prove your alleged iq a well the highest asshole,1.2246467991473532e-16,-1.0,-0.3943558551133187,0.9189578116202306,-0.9659258262890684,0.2588190451025203,0.10452846326765372,-0.9945218953682732,0.0,12574.0,0,0.0,0.902,0.098,0.3382,1,1,0,1,0,0,1,0,0,114,20,20
29198,10298,23440,many of the thug that attacked the peaceful trump supporter in san jose were illegals they burned the american flag and laughed at police,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426008,5127.0,0.0,0,0.09300000000000001,0.623,0.28300000000000003,0.7269,1,0,0,0,0,0,0,0,0,137,24,24
26550,568,1286,a signed copy of crippled america make a great gift order join my live streaming book signing event on,-2.4492935982947064e-16,1.0,0.2012985200886601,0.9795299412524944,0.8660254037844387,-0.4999999999999998,-0.20791169081775907,-0.9781476007338056,3426.0,0.0,0,0.0,0.662,0.33799999999999997,0.8481,0,1,0,0,0,0,0,0,0,102,19,19
30124,7853,19047,thank you america great commanderinchiefforum poll pic twitter com rcu kargcb,-1.0,-1.8369701987210294e-16,0.9987165071710528,-0.050649168838712635,0.8660254037844386,0.5000000000000001,-0.1045284632676543,0.9945218953682732,16224.0,0.0,0,0.0,0.465,0.535,0.784,0,1,0,0,0,0,0,0,0,77,11,11
2557,457,400,when will we see barackobama s passport record sealed,-0.4999999999999997,-0.8660254037844388,-0.29936312297335776,-0.9541392564000488,-0.7071067811865471,-0.7071067811865479,0.9510565162951536,-0.3090169943749473,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,53,9,9
25195,899,1330,swterry donald trump lead by point in pew poll jeb bush in free fall tcot,-0.8660254037844392,0.4999999999999993,0.39435585511331855,0.9189578116202306,-0.9659258262890684,0.2588190451025203,-0.4067366430757998,-0.9135454576426012,0.0,12874.0,0,0.0,0.8640000000000001,0.136,0.5106,0,0,0,0,0,0,0,0,0,73,15,15
39003,10029,44827,looking like our great south carolina could get hit much harder than first thought georgia and north carolina also it s moving around and very hard to predict except that it is one of the biggest and strongest and really wide that we have seen in decade be safe,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0.7071067811865476,-0.7071067811865475,0.0,1.0,1768.0,0.0,1,0.03,0.7490000000000001,0.221,0.9,0,2,2,0,0,0,0,0,1,261,49,49
22327,261,331,circuspony realdonaldtrump did you see all the white that were robbed assaulted during the riot mr president trump,0.8660254037844387,-0.4999999999999998,-0.20129852008866028,0.9795299412524944,0.9659258262890684,-0.25881904510252063,0.6691306063588583,-0.7431448254773941,7604.0,0.0,0,0.242,0.758,0.0,-0.7717,1,0,0,0,0,0,0,0,0,114,18,18
2088,60,14,celebrityapprentice who will win find out tonight live season finale at pm et on nbc,0.5000000000000003,-0.8660254037844385,-0.7907757369376986,-0.6121059825476627,-0.965925826289068,-0.2588190451025215,-0.3090169943749473,-0.9510565162951536,0.0,5631.0,0,0.0,0.8079999999999999,0.192,0.5859,0,1,0,0,0,0,1,0,0,84,15,15
26816,559,1342,theblaze donald trump unleashes verbal assault on nice guy ted cruz pic twitter com tqogtwrebl,-2.4492935982947064e-16,1.0,0.6513724827222223,-0.758758122692791,0.9659258262890682,0.25881904510252096,0.8090169943749475,0.5877852522924731,15628.0,0.0,0,0.184,0.68,0.136,-0.25,1,0,0,0,0,0,0,0,0,94,15,15
34957,9334,54191,congratulation to lenaepstein of michigan on a job well done also thanks for your great support,-0.8660254037844385,-0.5000000000000004,0.9987165071710528,-0.050649168838712635,-0.25881904510252035,-0.9659258262890684,0.6691306063588581,0.7431448254773944,0.0,0.0,1,0.0,0.429,0.5710000000000001,0.9432,0,1,0,0,0,0,0,0,0,95,16,16
34950,13888,73450,congratulation to troy balderson on a great win in ohio a very special and important race,-0.8660254037844385,-0.5000000000000004,0.9884683243281114,0.1514277775045767,-0.5000000000000004,0.8660254037844384,0.9510565162951536,-0.3090169943749473,0.0,22716.0,1,0.0,0.391,0.609,0.9528,0,2,0,0,0,0,0,0,0,89,16,16
30775,14710,40283,if my people said the thing about me that podesta hillary s people said about her i would fire them out of self respect bad instinct,-0.8660254037844392,0.4999999999999993,-0.5712682150947924,0.8207634412072763,0.5000000000000003,-0.8660254037844385,-0.6691306063588588,0.7431448254773937,0.0,0.0,0,0.184,0.7190000000000001,0.09699999999999999,-0.4215,1,0,0,0,0,0,0,1,0,132,26,26
6973,0,0,mwiggans espngolf cadillacchamp thanks m,0.8660254037844386,0.5000000000000001,-0.5712682150947924,0.8207634412072763,0.7071067811865476,-0.7071067811865475,0.7431448254773945,-0.6691306063588579,470.0,0.0,0,0.0,0.7070000000000001,0.293,0.4404,0,0,0,0,0,0,0,0,0,40,5,5
29847,12198,24200,makeamericasafeagainpic twitter com yulkyh q,-0.8660254037844385,-0.5000000000000004,0.8486442574947509,0.5289640103269624,-0.7071067811865471,-0.7071067811865479,0.3090169943749474,0.9510565162951536,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,44,5,5
19141,16,35,matthewclement realdonaldtrump for president,-2.4492935982947064e-16,1.0,0.10116832198743228,-0.9948693233918952,-0.5000000000000004,0.8660254037844384,0.7431448254773945,-0.6691306063588579,0.0,22936.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,44,4,4
318,27,10,our new miss usa alyssa campanella came up to my office today for a visit we re proud to have her a our new title holder,1.2246467991473532e-16,-1.0,-0.9987165071710528,-0.05064916883871266,-0.25881904510252035,-0.9659258262890684,-0.3090169943749477,0.9510565162951536,0.0,0.0,0,0.057999999999999996,0.83,0.11199999999999999,0.3612,1,0,0,0,0,0,0,0,0,120,26,26
42731,34488,93207,mitch i love you but this is true time is running out get tough and move quickly or it will be too late the dems are vicious but got caught they must pay a big price for what they have done to our country don t let them get away with this,0.5000000000000003,-0.8660254037844385,-0.10116832198743204,-0.9948693233918952,0.5000000000000003,-0.8660254037844385,-0.8090169943749476,0.5877852522924729,0.0,0.0,1,0.109,0.7909999999999999,0.1,0.2481,1,0,0,0,0,0,2,0,0,238,52,52
